CustomId,Color,Colors,Is_Translucent
0,Black,"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
1,Blue,"(0.0, 0.09084171118340768, 0.5209955732043543, 1.0)",f
2,Green,"(0.016807375752887384, 0.18782077230067787, 0.052860647023180246, 1.0)",f
3,Dark Turquoise,"(0.0, 0.27467731206038465, 0.3277780980565422, 1.0)",f
4,Red,"(0.5840784178911641, 0.010329823029626936, 0.0027317428519395373, 1.0)",f
5,Dark Pink,"(0.5775804404296506, 0.162029375639111, 0.35153259950043936, 1.0)",f
6,Brown,"(0.09758734714186246, 0.04091519690685319, 0.0202885630566524, 1.0)",f
7,Light Gray,"(0.3277780980565422, 0.3564001441459435, 0.33716361504833037, 1.0)",f
8,Dark Gray,"(0.15292615199615017, 0.1559264637078274, 0.10702310297826761, 1.0)",f
9,Light Blue,"(0.45641102318040466, 0.6444796819705821, 0.768151147247507, 1.0)",f
10,Bright Green,"(0.07036009569659588, 0.3467040563550296, 0.06847816984440017, 1.0)",f
11,Light Turquoise,"(0.09084171118340768, 0.3762621229909065, 0.4286904966139066, 1.0)",f
12,Salmon,"(0.8879231178819663, 0.162029375639111, 0.1119324278369056, 1.0)",f
13,Pink,"(0.9734452903984125, 0.30946892281750854, 0.41254261348390375, 1.0)",f
14,Yellow,"(0.8879231178819663, 0.6104955708078648, 0.0382043715953465, 1.0)",f
15,White,"(1.0, 1.0, 1.0, 1.0)",f
17,Light Green,"(0.5394794890121072, 0.7011018919329731, 0.4793201831008268, 1.0)",f
18,Light Yellow,"(0.9646862478944651, 0.7912979403326302, 0.3049873140698863, 1.0)",f
19,Tan,"(0.7758222183174236, 0.6104955708078648, 0.3419144249086609, 1.0)",f
20,Light Violet,"(0.5840784178911641, 0.5906188409193369, 0.7605245046752924, 1.0)",f
21,Glow In Dark Opaque,"(0.6583748172794485, 0.665387298282272, 0.5840784178911641, 1.0)",f
22,Purple,"(0.2195261997292692, 0.0, 0.19806931955994886, 1.0)",f
23,Dark Blue-Violet,"(0.014443843596092545, 0.03189603307301153, 0.43415363617474895, 1.0)",f
25,Orange,"(0.9911020971138298, 0.25415209433082675, 0.009134058702220787, 1.0)",f
26,Magenta,"(0.2874408377269175, 0.04091519690685319, 0.18782077230067787, 1.0)",f
27,Lime,"(0.4969329950608704, 0.8148465722161012, 0.003346535763899161, 1.0)",f
28,Dark Tan,"(0.3005437944157765, 0.25415209433082675, 0.1714411007328226, 1.0)",f
29,Bright Pink,"(0.7758222183174236, 0.4178850708481375, 0.5775804404296506, 1.0)",f
30,Medium Lavender,"(0.41254261348390375, 0.18782077230067787, 0.4910208498478356, 1.0)",f
31,Lavender,"(0.7529422167760779, 0.665387298282272, 0.846873231509858, 1.0)",f
32,Trans-Black IR Lens,"(0.12477181756095049, 0.11443537382697373, 0.08437621154414882, 1.0)",t
33,Trans-Dark Blue,"(0.0, 0.014443843596092545, 0.35153259950043936, 1.0)",t
34,Trans-Green,"(0.23074004852434915, 0.467783796112159, 0.26635560480286247, 1.0)",t
35,Trans-Bright Green,"(0.6938717612919899, 0.7758222183174236, 0.386429433787049, 1.0)",t
36,Trans-Red,"(0.5840784178911641, 0.010329823029626936, 0.0027317428519395373, 1.0)",t
40,Trans-Brown,"(0.12477181756095049, 0.11443537382697373, 0.08437621154414882, 1.0)",t
41,Trans-Light Blue,"(0.4232676699860717, 0.8631572134541023, 0.83879901174074, 1.0)",t
42,Trans-Neon Green,"(0.938685728457888, 0.8796223968878317, 0.23074004852434915, 1.0)",t
43,Trans-Very Lt Blue,"(0.5332764040105052, 0.7379104087727308, 0.8713671191987972, 1.0)",t
45,Trans-Dark Pink,"(0.7379104087727308, 0.13286832155381798, 0.3005437944157765, 1.0)",t
46,Trans-Yellow,"(0.9130986517934192, 0.6104955708078648, 0.028426039504420793, 1.0)",t
47,Trans-Clear,"(0.9734452903984125, 0.9734452903984125, 0.9734452903984125, 1.0)",t
52,Trans-Purple,"(0.3762621229909065, 0.3762621229909065, 0.5972017883637634, 1.0)",t
54,Trans-Neon Yellow,"(0.7011018919329731, 0.43415363617474895, 0.0, 1.0)",t
57,Trans-Neon Orange,"(1.0, 0.21586050011389926, 0.004024717018496307, 1.0)",t
60,Chrome Antique Brass,"(0.12743768043564743, 0.10224173308810132, 0.07227185068231748, 1.0)",f
61,Chrome Blue,"(0.14995978981060856, 0.3049873140698863, 0.5209955732043543, 1.0)",f
62,Chrome Green,"(0.04518620438567554, 0.45078578283822346, 0.1651321945016676, 1.0)",f
63,Chrome Pink,"(0.4019777798321958, 0.07421356838014963, 0.2704977910130658, 1.0)",f
64,Chrome Black,"(0.010960094006488246, 0.02315336617811041, 0.03433980680868217, 1.0)",f
68,Very Light Orange,"(0.8962693533742664, 0.6239603916750761, 0.3277780980565422, 1.0)",f
69,Light Purple,"(0.6104955708078648, 0.12213877222960187, 0.31398871337571754, 1.0)",f
70,Reddish Brown,"(0.09758734714186246, 0.02315336617811041, 0.006048833022857054, 1.0)",f
71,Light Bluish Gray,"(0.35153259950043936, 0.3762621229909065, 0.39675523072562685, 1.0)",f
72,Dark Bluish Gray,"(0.14995978981060856, 0.1559264637078274, 0.13843161503245183, 1.0)",f
73,Medium Blue,"(0.10224173308810132, 0.29177064981753587, 0.7083757798916868, 1.0)",f
74,Medium Green,"(0.1714411007328226, 0.7156935005064807, 0.3564001441459435, 1.0)",f
75,Speckle Black-Copper,"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
76,Speckle DBGray-Silver,"(0.14995978981060856, 0.1559264637078274, 0.13843161503245183, 1.0)",f
77,Light Pink,"(0.9911020971138298, 0.6038273388553378, 0.6239603916750761, 1.0)",f
78,Light Nougat,"(0.9215818562772946, 0.6795424696330938, 0.45078578283822346, 1.0)",f
79,Milky White,"(1.0, 1.0, 1.0, 1.0)",f
80,Metallic Silver,"(0.3762621229909065, 0.39675523072562685, 0.45641102318040466, 1.0)",f
81,Metallic Green,"(0.25015828472995344, 0.3277780980565422, 0.11443537382697373, 1.0)",f
82,Metallic Gold,"(0.7083757798916868, 0.41254261348390375, 0.03433980680868217, 1.0)",f
84,Medium Nougat,"(0.4019777798321958, 0.20507873639031693, 0.09084171118340768, 1.0)",f
85,Dark Purple,"(0.04970656598412723, 0.03688945040110004, 0.2831487404299921, 1.0)",f
86,Light Brown,"(0.20155625379439707, 0.08021982031446832, 0.042311410620809675, 1.0)",f
89,Royal Blue,"(0.07227185068231748, 0.11953842798834562, 0.7083757798916868, 1.0)",f
92,Nougat,"(0.6307571363461468, 0.2831487404299921, 0.13843161503245183, 1.0)",f
100,Light Salmon,"(0.9911020971138298, 0.4910208498478356, 0.5088813208549338, 1.0)",f
110,Violet,"(0.05612849004960009, 0.08865558628577294, 0.3662525955988395, 1.0)",f
112,Medium Bluish Violet,"(0.13843161503245183, 0.17464740365558504, 0.5906188409193369, 1.0)",f
114,Glitter Trans-Dark Pink,"(0.7379104087727308, 0.13286832155381798, 0.3005437944157765, 1.0)",t
115,Medium Lime,"(0.5711248294648731, 0.6444796819705821, 0.04518620438567554, 1.0)",f
117,Glitter Trans-Clear,"(1.0, 1.0, 1.0, 1.0)",t
118,Aqua,"(0.45078578283822346, 0.6795424696330938, 0.6375968739940326, 1.0)",f
120,Light Lime,"(0.6938717612919899, 0.7758222183174236, 0.386429433787049, 1.0)",f
125,Light Orange,"(0.9473065367331999, 0.4910208498478356, 0.11953842798834562, 1.0)",f
129,Glitter Trans-Purple,"(0.3762621229909065, 0.3762621229909065, 0.5972017883637634, 1.0)",t
132,Speckle Black-Silver,"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
133,Speckle Black-Gold,"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
134,Copper,"(0.4232676699860717, 0.1946178304415758, 0.09989872824711389, 1.0)",f
135,Pearl Light Gray,"(0.33245153634617935, 0.3662525955988395, 0.39157247774972326, 1.0)",f
137,Pearl Sand Blue,"(0.19120168274079138, 0.24620132670783548, 0.3564001441459435, 1.0)",f
142,Pearl Light Gold,"(0.7156935005064807, 0.5028864580325687, 0.2195261997292692, 1.0)",f
143,Trans-Medium Blue,"(0.6239603916750761, 0.7605245046752924, 0.9301108583754237, 1.0)",t
148,Pearl Dark Gray,"(0.0953074666309647, 0.09758734714186246, 0.0953074666309647, 1.0)",f
150,Pearl Very Light Gray,"(0.4072402119017367, 0.4178850708481375, 0.41254261348390375, 1.0)",f
151,Very Light Bluish Gray,"(0.7912979403326302, 0.768151147247507, 0.7454042095403874, 1.0)",f
158,Yellowish Green,"(0.7379104087727308, 0.8549926081242338, 0.3762621229909065, 1.0)",f
178,Flat Dark Gold,"(0.45641102318040466, 0.23074004852434915, 0.09084171118340768, 1.0)",f
179,Flat Silver,"(0.25015828472995344, 0.24228112246555486, 0.24620132670783548, 1.0)",f
182,Trans-Orange,"(0.8713671191987972, 0.27467731206038465, 0.011612245179743885, 1.0)",t
183,Pearl White,"(0.8879231178819663, 0.8962693533742664, 0.8879231178819663, 1.0)",f
191,Bright Light Orange,"(0.938685728457888, 0.4969329950608704, 0.046665086336880095, 1.0)",f
212,Bright Light Blue,"(0.3467040563550296, 0.5457244613701866, 0.8148465722161012, 1.0)",f
216,Rust,"(0.45078578283822346, 0.005181516702338386, 0.00121410793419535, 1.0)",f
226,Bright Light Yellow,"(1.0, 0.8713671191987972, 0.042311410620809675, 1.0)",f
230,Trans-Pink,"(0.7758222183174236, 0.4178850708481375, 0.5775804404296506, 1.0)",t
232,Sky Blue,"(0.20507873639031693, 0.5209955732043543, 0.7230551289219693, 1.0)",f
236,Trans-Light Purple,"(0.3049873140698863, 0.162029375639111, 0.3467040563550296, 1.0)",t
272,Dark Blue,"(0.003035269835488375, 0.03433980680868217, 0.12477181756095049, 1.0)",f
288,Dark Green,"(0.009134058702220787, 0.06124605423161761, 0.03189603307301153, 1.0)",f
294,Glow In Dark Trans,"(0.5088813208549338, 0.5647115057049292, 0.4178850708481375, 1.0)",t
297,Pearl Gold,"(0.4019777798321958, 0.21223075741405523, 0.027320891639074894, 1.0)",f
308,Dark Brown,"(0.03560131487502034, 0.01520851442291271, 0.0, 1.0)",f
313,Maersk Blue,"(0.03560131487502034, 0.2874408377269175, 0.5457244613701866, 1.0)",f
320,Dark Red,"(0.16826940018969075, 0.004391442037410293, 0.004776953480693729, 1.0)",f
321,Dark Azure,"(0.0021246888848418626, 0.2581828529215958, 0.5840784178911641, 1.0)",f
322,Medium Azure,"(0.03688945040110004, 0.4232676699860717, 0.5209955732043543, 1.0)",f
323,Light Aqua,"(0.4178850708481375, 0.5457244613701866, 0.5271151257058131, 1.0)",f
326,Olive Green,"(0.3277780980565422, 0.32314320911295075, 0.10224173308810132, 1.0)",f
334,Chrome Gold,"(0.4969329950608704, 0.3762621229909065, 0.046665086336880095, 1.0)",f
335,Sand Red,"(0.6724431569576875, 0.17788841598362912, 0.16826940018969075, 1.0)",f
351,Medium Dark Pink,"(0.9301108583754237, 0.23455058216100522, 0.4396571738409188, 1.0)",f
366,Earth Orange,"(0.9559733532492861, 0.33245153634617935, 0.011612245179743885, 1.0)",f
373,Sand Purple,"(0.23074004852434915, 0.1119324278369056, 0.23074004852434915, 1.0)",f
378,Sand Green,"(0.35153259950043936, 0.5028864580325687, 0.41254261348390375, 1.0)",f
379,Sand Blue,"(0.11697066775851084, 0.17464740365558504, 0.3564001441459435, 1.0)",f
383,Chrome Silver,"(0.7454042095403874, 0.7454042095403874, 0.7454042095403874, 1.0)",f
450,Fabuland Brown,"(0.467783796112159, 0.19806931955994886, 0.08021982031446832, 1.0)",f
462,Medium Orange,"(1.0, 0.386429433787049, 0.003346535763899161, 1.0)",f
484,Dark Orange,"(0.39675523072562685, 0.09084171118340768, 0.0, 1.0)",f
503,Very Light Gray,"(0.7912979403326302, 0.768151147247507, 0.7011018919329731, 1.0)",f
1000,Glow in Dark White,"(0.6938717612919899, 0.6938717612919899, 0.6938717612919899, 1.0)",f
1001,Medium Violet,"(0.29177064981753587, 0.2831487404299921, 0.7758222183174236, 1.0)",f
1002,Glitter Trans-Neon Green,"(0.5271151257058131, 0.9130986517934192, 0.0, 1.0)",t
1003,Glitter Trans-Light Blue,"(0.13843161503245183, 0.5028864580325687, 0.5583403896342679, 1.0)",t
1004,Trans-Flame Yellowish Orange,"(0.9734452903984125, 0.47353149614800955, 0.15292615199615017, 1.0)",t
1005,Trans-Fire Yellow,"(0.9646862478944651, 0.8069522576692516, 0.2788942634768104, 1.0)",t
1006,Trans-Light Royal Blue,"(0.45641102318040466, 0.6583748172794485, 0.9301108583754237, 1.0)",t
1007,Reddish Lilac,"(0.2704977910130658, 0.09084171118340768, 0.30946892281750854, 1.0)",f
1008,Vintage Blue,"(0.0009105809506465125, 0.33245153634617935, 0.5088813208549338, 1.0)",f
1009,Vintage Green,"(0.012983032342173012, 0.11697066775851084, 0.012983032342173012, 1.0)",f
1010,Vintage Red,"(0.5906188409193369, 0.013702083047289686, 0.0024282158683907, 1.0)",f
1011,Vintage Yellow,"(0.8962693533742664, 0.5457244613701866, 0.0015176349177441874, 1.0)",f
1012,Fabuland Orange,"(0.8631572134541023, 0.2831487404299921, 0.01520851442291271, 1.0)",f
1013,Modulex White,"(0.9046611743911496, 0.9046611743911496, 0.9046611743911496, 1.0)",f
1014,Modulex Light Bluish Gray,"(0.4286904966139066, 0.4620769996544071, 0.5711248294648731, 1.0)",f
1015,Modulex Light Gray,"(0.33245153634617935, 0.33245153634617935, 0.33245153634617935, 1.0)",f
1016,Modulex Charcoal Gray,"(0.09989872824711389, 0.10946171077829933, 0.11697066775851084, 1.0)",f
1017,Modulex Tile Gray,"(0.14702726649759498, 0.10224173308810132, 0.10224173308810132, 1.0)",f
1018,Modulex Black,"(0.07421356838014963, 0.07227185068231748, 0.08437621154414882, 1.0)",f
1019,Modulex Tile Brown,"(0.033104766570885055, 0.0, 0.0, 1.0)",f
1020,Modulex Terracotta,"(0.10702310297826761, 0.08021982031446832, 0.0295568344378088, 1.0)",f
1021,Modulex Brown,"(0.2788942634768104, 0.17464740365558504, 0.08021982031446832, 1.0)",f
1022,Modulex Buff,"(0.7304607400903537, 0.5647115057049292, 0.33245153634617935, 1.0)",f
1023,Modulex Red,"(0.4620769996544071, 0.02518685962736163, 0.014443843596092545, 1.0)",f
1024,Modulex Pink Red,"(0.9046611743911496, 0.10702310297826761, 0.05126945837404324, 1.0)",f
1025,Modulex Orange,"(0.9046611743911496, 0.19806931955994886, 0.0295568344378088, 1.0)",f
1026,Modulex Light Orange,"(0.9301108583754237, 0.4178850708481375, 0.12477181756095049, 1.0)",f
1027,Modulex Light Yellow,"(1.0, 0.768151147247507, 0.1651321945016676, 1.0)",f
1028,Modulex Ochre Yellow,"(0.9911020971138298, 0.665387298282272, 0.0953074666309647, 1.0)",f
1029,Modulex Lemon,"(0.5088813208549338, 0.5647115057049292, 0.009134058702220787, 1.0)",f
1030,Modulex Pastel Green,"(0.20507873639031693, 0.4620769996544071, 0.03954623527673284, 1.0)",f
1031,Modulex Olive Green,"(0.20155625379439707, 0.2788942634768104, 0.0822827071298148, 1.0)",f
1032,Modulex Aqua Green,"(0.0202885630566524, 0.238397573812271, 0.20863687014525575, 1.0)",f
1033,Modulex Teal Blue,"(0.06124605423161761, 0.162029375639111, 0.22696587351009836, 1.0)",f
1034,Modulex Tile Blue,"(0.0, 0.0953074666309647, 0.38132601143253014, 1.0)",f
1035,Modulex Medium Blue,"(0.11953842798834562, 0.4286904966139066, 1.0, 1.0)",f
1036,Modulex Pastel Blue,"(0.13843161503245183, 0.4232676699860717, 0.6172065624196511, 1.0)",f
1037,Modulex Violet,"(0.5088813208549338, 0.20507873639031693, 0.23455058216100522, 1.0)",f
1038,Modulex Pink,"(0.9301108583754237, 0.23455058216100522, 0.4396571738409188, 1.0)",f
1039,Modulex Clear,"(1.0, 1.0, 1.0, 1.0)",f
1040,Modulex Foil Dark Gray,"(0.09989872824711389, 0.10946171077829933, 0.11697066775851084, 1.0)",f
1041,Modulex Foil Light Gray,"(0.33245153634617935, 0.33245153634617935, 0.33245153634617935, 1.0)",f
1042,Modulex Foil Dark Green,"(0.0, 0.12743768043564743, 0.0, 1.0)",f
1043,Modulex Foil Light Green,"(0.20507873639031693, 0.4620769996544071, 0.03954623527673284, 1.0)",f
1044,Modulex Foil Dark Blue,"(0.0, 0.0953074666309647, 0.38132601143253014, 1.0)",f
1045,Modulex Foil Light Blue,"(0.13843161503245183, 0.4232676699860717, 0.6172065624196511, 1.0)",f
1046,Modulex Foil Violet,"(0.07036009569659588, 0.0, 0.2232279573168085, 1.0)",f
1047,Modulex Foil Red,"(0.2581828529215958, 0.0, 0.0, 1.0)",f
1048,Modulex Foil Yellow,"(0.9911020971138298, 0.665387298282272, 0.0953074666309647, 1.0)",f
1049,Modulex Foil Orange,"(0.9301108583754237, 0.4178850708481375, 0.12477181756095049, 1.0)",f
1050,Coral,"(1.0, 0.14126329114027164, 0.27467731206038465, 1.0)",f
1051,Pastel Blue,"(0.10224173308810132, 0.5520114015120001, 0.7011018919329731, 1.0)",f
1052,Glitter Trans-Orange,"(0.8713671191987972, 0.27467731206038465, 0.011612245179743885, 1.0)",t
1053,Trans-Blue Opal,"(0.13843161503245183, 0.5028864580325687, 0.5583403896342679, 1.0)",t
1054,Trans-Dark Pink Opal,"(0.6172065624196511, 0.012286488356915872, 0.3277780980565422, 1.0)",t
1055,Trans-Clear Opal,"(0.9734452903984125, 0.9734452903984125, 0.9734452903984125, 1.0)",t
1056,Trans-Brown Opal,"(0.09758734714186246, 0.04091519690685319, 0.0202885630566524, 1.0)",t
1057,Trans-Light Bright Green,"(0.5840784178911641, 0.799102738014409, 0.24620132670783548, 1.0)",t
1058,Trans-Light Green,"(0.2961382707983211, 0.7835377915261935, 0.4072402119017367, 1.0)",t
1059,Trans-Purple Opal,"(0.22696587351009836, 0.014443843596092545, 0.47353149614800955, 1.0)",t
1060,Trans-Green Opal,"(0.23074004852434915, 0.467783796112159, 0.26635560480286247, 1.0)",t
1061,Trans-Dark Blue Opal,"(0.0, 0.014443843596092545, 0.35153259950043936, 1.0)",t
1062,Vibrant Yellow,"(0.8307698767746546, 0.6866853124353135, 0.0, 1.0)",f
1063,Pearl Copper,"(0.45641102318040466, 0.14412847085805777, 0.0, 1.0)",f
1064,Fabuland Red,"(1.0, 0.21586050011389926, 0.006995410187265387, 1.0)",f
1065,Reddish Gold,"(0.41254261348390375, 0.2232279573168085, 0.06301001765316767, 1.0)",f
1066,Curry,"(0.7230551289219693, 0.31398871337571754, 0.027320891639074894, 1.0)",f
1067,Dark Nougat,"(0.4178850708481375, 0.11953842798834562, 0.05126945837404324, 1.0)",f
1068,Bright Reddish Orange,"(0.8549926081242338, 0.08865558628577294, 0.03433980680868217, 1.0)",f
1069,Pearl Red,"(0.6724431569576875, 0.0, 0.019382360956935723, 1.0)",f
1070,Pearl Blue,"(0.0, 0.09989872824711389, 0.3662525955988395, 1.0)",f
1071,Pearl Green,"(0.0, 0.2704977910130658, 0.04518620438567554, 1.0)",f
1072,Pearl Brown,"(0.0953074666309647, 0.04091519690685319, 0.02518685962736163, 1.0)",f
1073,Pearl Black,"(0.003035269835488375, 0.006512090792594475, 0.0202885630566524, 1.0)",f
1074,Duplo Blue,"(0.0, 0.3419144249086609, 0.6172065624196511, 1.0)",f
1075,Duplo Medium Blue,"(0.04817182422688942, 0.3005437944157765, 0.467783796112159, 1.0)",f
1076,Duplo Lime,"(1.0, 0.8879231178819663, 0.0295568344378088, 1.0)",f
1077,Fabuland Lime,"(0.18782077230067787, 0.9734452903984125, 0.18782077230067787, 1.0)",f
1078,Duplo Medium Green,"(0.06124605423161761, 0.25415209433082675, 0.11443537382697373, 1.0)",f
1079,Duplo Light Green,"(0.11697066775851084, 0.4910208498478356, 0.18116424424986022, 1.0)",f
1080,Light Tan,"(0.8962693533742664, 0.5840784178911641, 0.24620132670783548, 1.0)",f
1081,Rust Orange,"(0.24228112246555486, 0.024157632448504756, 0.008568125618069307, 1.0)",f
1082,Clikits Pink,"(0.9911020971138298, 0.18782077230067787, 0.43415363617474895, 1.0)",f
1083,Two-tone Copper,"(0.2961382707983211, 0.0822827071298148, 0.06480326669290577, 1.0)",f
1084,Two-tone Gold,"(0.4072402119017367, 0.13563332965520566, 0.042311410620809675, 1.0)",f
1085,Two-tone Silver,"(0.1714411007328226, 0.16826940018969075, 0.1651321945016676, 1.0)",f
1086,Pearl Lime,"(0.14412847085805777, 0.19120168274079138, 0.05780543019106723, 1.0)",f
1087,Duplo Pink,"(1.0, 0.24228112246555486, 0.33245153634617935, 1.0)",f
1088,Medium Brown,"(0.17788841598362912, 0.09989872824711389, 0.0595112381629812, 1.0)",f
1089,Warm Tan,"(0.6038273388553378, 0.3662525955988395, 0.1714411007328226, 1.0)",f
1090,Duplo Turquoise,"(0.04970656598412723, 0.467783796112159, 0.3419144249086609, 1.0)",f
1091,Warm Yellowish Orange,"(1.0, 0.5972017883637634, 0.18782077230067787, 1.0)",f
1092,Metallic Copper,"(0.18116424424986022, 0.07421356838014963, 0.043735029256973465, 1.0)",f
1093,Light Lilac,"(0.2831487404299921, 0.3005437944157765, 0.5906188409193369, 1.0)",f
1094,Trans-Medium Purple,"(0.26635560480286247, 0.1714411007328226, 0.45078578283822346, 1.0)",f
1095,Trans-Black,"(0.12477181756095049, 0.11443537382697373, 0.08437621154414882, 1.0)",t
1096,Glitter Trans-Bright Green,"(0.6938717612919899, 0.7758222183174236, 0.386429433787049, 1.0)",t
1097,Glitter Trans-Medium Purple,"(0.26635560480286247, 0.1714411007328226, 0.45078578283822346, 1.0)",t
1098,Glitter Trans-Green,"(0.23074004852434915, 0.467783796112159, 0.26635560480286247, 1.0)",t
1099,Glitter Trans-Pink,"(0.7758222183174236, 0.4178850708481375, 0.5775804404296506, 1.0)",t
1100,Clikits Yellow,"(1.0, 0.6239603916750761, 0.003346535763899161, 1.0)",f
1101,Duplo Dark Purple,"(0.11443537382697373, 0.0202885630566524, 0.4019777798321958, 1.0)",f
1102,Trans-Neon Red,"(1.0, 0.0, 0.05126945837404324, 1.0)",t
1103,Pearl Titanium,"(0.04817182422688942, 0.04518620438567554, 0.04091519690685319, 1.0)",f
1104,HO Aqua,"(0.45078578283822346, 0.6795424696330938, 0.6375968739940326, 1.0)",f
1105,HO Azure,"(0.007499032043226175, 0.2831487404299921, 0.5972017883637634, 1.0)",f
1106,HO Blue-gray,"(0.03560131487502034, 0.07618538148130785, 0.10224173308810132, 1.0)",f
1107,HO Cyan,"(0.10461648409110419, 0.31398871337571754, 0.45078578283822346, 1.0)",f
1108,HO Dark Aqua,"(0.386429433787049, 0.7156935005064807, 0.6239603916750761, 1.0)",f
1109,HO Dark Blue,"(0.003035269835488375, 0.03433980680868217, 0.12477181756095049, 1.0)",f
1110,HO Dark Gray,"(0.15292615199615017, 0.1559264637078274, 0.10702310297826761, 1.0)",f
1111,HO Dark Green,"(0.009134058702220787, 0.06124605423161761, 0.03189603307301153, 1.0)",f
1112,HO Dark Lime,"(0.44520119451622786, 0.4851499400560704, 0.09084171118340768, 1.0)",f
1113,HO Dark Red,"(0.12477181756095049, 0.006512090792594475, 0.006995410187265387, 1.0)",f
1114,HO Dark Sand Green,"(0.12213877222960187, 0.1946178304415758, 0.12213877222960187, 1.0)",f
1115,HO Dark Turquoise,"(0.005181516702338386, 0.2874408377269175, 0.33716361504833037, 1.0)",f
1116,HO Earth Orange,"(0.4969329950608704, 0.184474994500441, 0.010960094006488246, 1.0)",f
1117,HO Gold,"(0.45641102318040466, 0.386429433787049, 0.17464740365558504, 1.0)",f
1118,HO Light Aqua,"(0.3662525955988395, 0.6375968739940326, 0.5271151257058131, 1.0)",f
1119,HO Light Brown,"(0.3049873140698863, 0.08650046203654976, 0.03688945040110004, 1.0)",f
1120,HO Light Gold,"(0.6104955708078648, 0.5394794890121072, 0.31398871337571754, 1.0)",f
1121,HO Light Tan,"(0.9473065367331999, 0.8796223968878317, 0.5711248294648731, 1.0)",f
1122,HO Light Yellow,"(0.9130986517934192, 0.9559733532492861, 0.47353149614800955, 1.0)",f
1123,HO Medium Blue,"(0.1714411007328226, 0.3049873140698863, 0.5775804404296506, 1.0)",f
1124,HO Medium Red,"(0.5271151257058131, 0.005605391624202723, 0.005605391624202723, 1.0)",f
1125,HO Metallic Blue,"(0.004024717018496307, 0.06301001765316767, 0.12477181756095049, 1.0)",f
1126,HO Metallic Dark Gray,"(0.1119324278369056, 0.1119324278369056, 0.1119324278369056, 1.0)",f
1127,HO Metallic Green,"(0.24228112246555486, 0.31398871337571754, 0.13563332965520566, 1.0)",f
1128,HO Metallic Sand Blue,"(0.11443537382697373, 0.20507873639031693, 0.26225065752969623, 1.0)",f
1129,HO Olive Green,"(0.3277780980565422, 0.32314320911295075, 0.10224173308810132, 1.0)",f
1130,HO Rose,"(0.6307571363461468, 0.12213877222960187, 0.12213877222960187, 1.0)",f
1131,HO Sand Blue,"(0.1559264637078274, 0.25415209433082675, 0.38132601143253014, 1.0)",f
1132,HO Sand Green,"(0.35153259950043936, 0.5028864580325687, 0.41254261348390375, 1.0)",f
1133,HO Tan,"(0.7758222183174236, 0.6104955708078648, 0.3419144249086609, 1.0)",f
1134,HO Titanium,"(0.11953842798834562, 0.11953842798834562, 0.11953842798834562, 1.0)",f
1135,Metal,"(0.3762621229909065, 0.4178850708481375, 0.45641102318040466, 1.0)",f
1136,Reddish Orange,"(0.6583748172794485, 0.009134058702220787, 0.0, 1.0)",f
9999,[No Color/Any Color],"(0.0015176349177441874, 0.006512090792594475, 0.012286488356915872, 1.0)",f
